id,name,style,cardWidth,lengthPx,heightPx,lengthHeight,clearanceShareOfHeight,lowerBodyShareOfHeight,cabinHeightShare,hoodShare,cabinShare,rearShare,wheelbaseShare,frontOverhangShare,rearOverhangShare,centerFromFront,cluster
car0017,Mercedes-Benz SLK 230 Kompressor 1996,Compact,1600,1457.12,494.24,2.9482,0.2071,0.5212,0.2717,0.3742,0.4593,0.1665,0.6421,0.1702,0.1877,0.7021,1
car0018,Renault 4CV 1946,Compact,1300,1106.02,494.24,2.2378,0.1717,0.4524,0.3759,0.245,0.6258,0.1292,0.6634,0.1293,0.2073,0.4942,2
car0019,Studebaker Champion 1947,Compact,1600,1415.66,482.98,2.9311,0.1649,0.5306,0.3045,0.3226,0.4121,0.2653,0.6284,0.1659,0.2057,0.5747,1
car0020,Mazda MX-5 1989,Compact,1500,1387.45,455.52,3.0459,0.1453,0.5726,0.2822,0.316,0.4919,0.192,0.6142,0.1755,0.2103,0.6475,3
car0022,Nissan Figaro 1989,Compact,1400,1224.29,455.52,2.6877,0.1498,0.5384,0.3119,0.2785,0.5181,0.2034,0.6499,0.1836,0.1664,0.674,3
car0023,Lancia Fulvia Coupé 1965,Compact,1400,1303.39,455.52,2.8613,0.2141,0.4741,0.3119,0.2921,0.4916,0.2163,0.6262,0.1648,0.2091,0.6334,3
car0024,Broadspeed GT 1965,Compact,1400,1237.24,490.12,2.5244,0.1517,0.4803,0.368,0.2921,0.6344,0.0735,0.6646,0.1245,0.2109,0.5478,2
car0026,Radford Mini De Ville 1963,Compact,1200,1055.43,494.24,2.1355,0.1476,0.484,0.3684,0.2751,0.6555,0.0694,0.7242,0.1326,0.1432,0.582,2
car0027,Isuzu Bellett 1963,Compact,1400,1217.59,455.52,2.673,0.2141,0.4536,0.3323,0.3088,0.503,0.1882,0.6307,0.1511,0.2183,0.5957,3
car0029,Sunbeam Rapier IV 1963,Compact,1500,1328.79,494.24,2.6885,0.1419,0.522,0.336,0.2654,0.5591,0.1755,0.6376,0.1366,0.2258,0.5589,3
car0030,Panhard PL17 Tigre 1960,Compact,1500,1409.66,494.24,2.8522,0.1686,0.4805,0.3509,0.2933,0.5533,0.1534,0.6109,0.174,0.2151,0.544,3
car0031,1956 Austin A35,Compact,1200,1037.65,494.24,2.0995,0.1345,0.5377,0.3278,0.3236,0.5311,0.1453,0.6308,0.1497,0.2196,0.6045,3
car0032,Austin Mini Seven 1959,Compact,1200,1080.77,494.24,2.1867,0.155,0.4919,0.3531,0.2348,0.6951,0.0701,0.7166,0.1329,0.1505,0.5857,2
car0033,Lancia Flavia 1961,Compact,1400,1262.34,442.03,2.8558,0.1878,0.598,0.2141,0.2901,0.5137,0.1963,0.6241,0.1675,0.2084,0.5315,3
car0034,Peugeot 404 1960,Compact,1500,1327.21,473.72,2.8017,0.1874,0.4941,0.3185,0.2889,0.5169,0.1942,0.636,0.1422,0.2218,0.5346,3
car0035,Triumph Herald 1200 1961,Compact,1500,1374.27,494.24,2.7806,0.1182,0.5398,0.342,0.3071,0.5269,0.1659,0.6323,0.1253,0.2424,0.5923,3
car0036,Wolseley 1500 1957,Compact,1200,1031.04,441.05,2.3377,0.1665,0.4961,0.3375,0.2898,0.558,0.1522,0.6235,0.155,0.2215,0.5417,3
car0037,Ford Popular 103E 1953,Compact,1200,1058.83,464.96,2.2772,0.1482,0.5606,0.2912,0.3373,0.5545,0.1082,0.6359,0.1378,0.2264,0.6104,3
car0038,Fiat Nuova 500 1957,Compact,1200,1025.3,494.24,2.0745,0.1637,0.4915,0.3448,0.2398,0.646,0.1142,0.6906,0.1269,0.1825,0.6013,2
car0039,Austin A40 1958,Compact,1300,1162.27,494.24,2.3516,0.1413,0.4665,0.3922,0.2785,0.6612,0.0603,0.6384,0.1685,0.193,0.643,4
car0040,Holden 48-215 FX 1948,Compact,1400,1232.49,494.24,2.4937,0.1678,0.5649,0.2673,0.3064,0.5335,0.1601,0.6571,0.1289,0.214,0.5304,3
car0041,Austin A40 Devon 1947,Compact,1200,1040.22,494.24,2.1047,0.1686,0.5687,0.2627,0.3227,0.5551,0.1222,0.6809,0.1294,0.1897,0.5439,2
car0042,Toyota Model SA 1947,Compact,1200,1038.7,494.24,2.1016,0.1686,0.5625,0.2689,0.369,0.5445,0.0865,0.6582,0.1162,0.2256,0.6417,3
car0043,Morris Eight Series E 1938,Compact,1200,1071.77,494.24,2.1685,0.1686,0.5364,0.295,0.3344,0.5405,0.1251,0.6719,0.133,0.1951,0.5964,3
car0044,Renault Dauphine (1956),Compact,1400,1263.26,494.24,2.556,0.1704,0.4892,0.3405,0.2862,0.5254,0.1884,0.6287,0.1699,0.2013,0.5152,3
